order_id,supplier_id,customer_id,sku,plant,order_date,promised_date,current_eta,ordered_qty,confirmed_qty,received_qty,on_hand,allocated,safety_stock,unit_price,contract_price,currency,customer_priority,supplier_risk,order_status,expected_exception
PO-10022,SUP-009,CUS-033,SKU-0063,ATL,2026-08-26,2026-09-23,2026-09-23,60,49,0,108,20,18,87.55,87.55,USD,HIGH,LOW,OPEN,QUANTITY_SHORTFALL
PO-10023,SUP-006,CUS-048,SKU-0057,LAX,2026-08-31,2026-09-22,2026-09-22,500,500,0,553,2,9,262.92,235.31,USD,STANDARD,MEDIUM,IN_TRANSIT,PRICE_MISMATCH
PO-10024,,CUS-023,SKU-0027,DAL,2026-08-31,2026-09-12,2026-09-12,100,100,0,215,17,18,79.52,79.52,USD,STANDARD,LOW,OPEN,DATA_QUALITY
PO-10025,SUP-011,CUS-027,SKU-0032,ATL,2026-09-07,2026-09-14,2026-09-13,100,100,0,326,3,17,178.88,178.88,USD,STANDARD,HIGH,OPEN,NO_EXCEPTION
PO-10026,SUP-008,CUS-015,SKU-0004,DAL,2026-08-10,2026-09-17,2026-09-14,40,40,0,149,8,7,78.8,78.8,USD,HIGH,MEDIUM,IN_TRANSIT,NO_EXCEPTION
PO-10027,SUP-018,CUS-022,SKU-0004,PHX,2026-08-14,2026-09-22,2026-09-20,150,150,0,220,18,13,235.63,235.63,USD,STANDARD,LOW,IN_TRANSIT,NO_EXCEPTION
PO-10028,SUP-014,CUS-039,SKU-0066,PHX,2026-08-17,2026-09-23,2026-10-03,100,100,0,272,6,13,190.45,190.45,USD,STANDARD,HIGH,OPEN,LATE_SHIPMENT
PO-10029,SUP-011,CUS-040,SKU-0041,PHX,2026-08-27,2026-09-17,2026-09-15,500,500,0,75,70,9,108.06,108.06,USD,HIGH,HIGH,IN_TRANSIT,INVENTORY_SHORTAGE
PO-10030,SUP-006,CUS-040,SKU-0073,ATL,2026-08-13,2026-09-22,2026-09-19,40,21,0,205,0,14,226.16,226.16,USD,HIGH,LOW,CONFIRMED,QUANTITY_SHORTFALL
PO-10031,SUP-007,CUS-033,SKU-0061,DAL,2026-08-19,2026-09-19,2026-09-19,150,150,0,247,16,15,119.71,110.49,USD,STANDARD,LOW,IN_TRANSIT,PRICE_MISMATCH
PO-10032,,CUS-031,SKU-0079,PHX,2026-08-27,2026-09-14,2026-09-11,500,500,0,631,20,11,13.67,13.67,USD,CRITICAL,HIGH,CONFIRMED,DATA_QUALITY
PO-10033,SUP-004,CUS-050,SKU-0055,DAL,2026-09-08,2026-09-24,2026-09-23,40,40,0,270,16,19,207.62,207.62,USD,STANDARD,LOW,OPEN,NO_EXCEPTION
PO-10034,SUP-017,CUS-036,SKU-0077,ATL,2026-08-31,2026-09-24,2026-09-21,100,100,0,281,16,18,115.8,115.8,USD,CRITICAL,LOW,IN_TRANSIT,NO_EXCEPTION
PO-10035,SUP-008,CUS-041,SKU-0036,LAX,2026-08-09,2026-09-19,2026-09-18,500,500,0,595,14,7,68.13,68.13,USD,HIGH,LOW,CONFIRMED,NO_EXCEPTION
PO-10036,SUP-005,CUS-015,SKU-0050,DAL,2026-08-19,2026-09-20,2026-09-22,60,60,0,101,13,18,26.69,26.69,USD,HIGH,HIGH,CONFIRMED,LATE_SHIPMENT
PO-10037,SUP-019,CUS-045,SKU-0003,LAX,2026-08-13,2026-09-18,2026-09-15,40,40,0,11,11,12,217.92,217.92,USD,CRITICAL,HIGH,IN_TRANSIT,INVENTORY_SHORTAGE
PO-10038,SUP-001,CUS-025,SKU-0044,LAX,2026-08-25,2026-09-16,2026-09-15,100,63,0,340,14,9,109.11,109.11,USD,STANDARD,HIGH,IN_TRANSIT,QUANTITY_SHORTFALL
PO-10039,SUP-005,CUS-030,SKU-0024,PHX,2026-09-07,2026-09-13,2026-09-11,250,250,0,372,10,11,180.15,157.12,USD,CRITICAL,MEDIUM,CONFIRMED,PRICE_MISMATCH
PO-10040,,CUS-017,SKU-0011,LAX,2026-08-22,2026-09-24,2026-09-24,100,100,0,316,17,6,228.68,228.68,USD,HIGH,LOW,IN_TRANSIT,DATA_QUALITY
PO-10041,SUP-008,CUS-013,SKU-0003,DAL,2026-09-06,2026-09-24,2026-09-23,500,500,0,557,15,8,15.2,15.2,USD,STANDARD,HIGH,IN_TRANSIT,NO_EXCEPTION
PO-10042,SUP-004,CUS-050,SKU-0021,ATL,2026-08-16,2026-09-14,2026-09-14,60,60,0,233,0,14,148.57,148.57,USD,CRITICAL,HIGH,IN_TRANSIT,NO_EXCEPTION
PO-10043,SUP-008,CUS-007,SKU-0039,PHX,2026-09-04,2026-09-21,2026-09-21,40,40,0,153,17,18,168.22,168.22,USD,HIGH,LOW,IN_TRANSIT,NO_EXCEPTION
PO-10044,SUP-016,CUS-007,SKU-0056,ATL,2026-08-18,2026-09-12,2026-09-22,250,250,0,456,4,18,205.1,205.1,USD,STANDARD,MEDIUM,IN_TRANSIT,LATE_SHIPMENT
PO-10045,SUP-019,CUS-018,SKU-0042,DAL,2026-08-09,2026-09-19,2026-09-19,500,500,0,7,7,15,109.05,109.05,USD,CRITICAL,HIGH,CONFIRMED,INVENTORY_SHORTAGE
PO-10046,SUP-009,CUS-022,SKU-0036,ATL,2026-08-08,2026-09-15,2026-09-15,40,22,0,197,6,7,90.32,90.32,USD,STANDARD,HIGH,CONFIRMED,QUANTITY_SHORTFALL
PO-10047,SUP-016,CUS-029,SKU-0003,PHX,2026-08-24,2026-09-23,2026-09-21,500,500,0,581,12,12,132.37,118.45,USD,HIGH,MEDIUM,CONFIRMED,PRICE_MISMATCH
PO-10048,SUP-012,CUS-045,SKU-0059,ATL,2026-08-12,2026-09-23,,60,60,0,149,7,8,135.69,135.69,USD,STANDARD,MEDIUM,OPEN,DATA_QUALITY
PO-10049,SUP-016,CUS-018,SKU-0076,ATL,2026-08-28,2026-09-15,2026-09-15,150,150,0,388,6,14,58.2,58.2,USD,STANDARD,MEDIUM,OPEN,NO_EXCEPTION
PO-10050,SUP-009,CUS-003,SKU-0007,ATL,2026-09-08,2026-09-23,2026-09-22,60,60,0,248,15,8,131.92,131.92,USD,STANDARD,MEDIUM,CONFIRMED,NO_EXCEPTION
PO-10051,SUP-002,CUS-017,SKU-0062,PHX,2026-08-11,2026-09-17,2026-09-17,100,100,0,227,15,7,50.77,50.77,USD,STANDARD,LOW,OPEN,NO_EXCEPTION
PO-10052,SUP-004,CUS-036,SKU-0054,DAL,2026-08-20,2026-09-13,2026-09-24,500,500,0,640,14,14,238.59,238.59,USD,CRITICAL,MEDIUM,IN_TRANSIT,LATE_SHIPMENT
PO-10053,SUP-007,CUS-017,SKU-0011,DAL,2026-09-02,2026-09-24,2026-09-23,20,20,0,3,3,14,56.21,56.21,USD,STANDARD,LOW,CONFIRMED,INVENTORY_SHORTAGE
PO-10054,SUP-015,CUS-005,SKU-0030,ATL,2026-08-25,2026-09-16,2026-09-15,20,18,0,153,3,12,172.01,172.01,USD,STANDARD,MEDIUM,OPEN,QUANTITY_SHORTFALL
PO-10055,SUP-019,CUS-019,SKU-0057,PHX,2026-08-29,2026-09-24,2026-09-21,20,20,0,221,9,17,83.44,79.37,USD,HIGH,HIGH,CONFIRMED,PRICE_MISMATCH
PO-10056,SUP-009,CUS-002,SKU-0012,DAL,2026-08-12,2026-09-23,,20,20,0,240,8,6,82.78,82.78,USD,STANDARD,HIGH,IN_TRANSIT,DATA_QUALITY
PO-10057,SUP-014,CUS-041,SKU-0063,PHX,2026-08-22,2026-09-14,2026-09-11,100,100,0,214,13,15,239.29,239.29,USD,HIGH,LOW,OPEN,NO_EXCEPTION
PO-10058,SUP-013,CUS-049,SKU-0071,PHX,2026-08-13,2026-09-23,2026-09-20,60,60,0,107,10,13,122.95,122.95,USD,HIGH,LOW,CONFIRMED,NO_EXCEPTION
PO-10059,SUP-018,CUS-030,SKU-0053,PHX,2026-08-07,2026-09-25,2026-09-24,500,500,0,657,11,20,237.24,237.24,USD,CRITICAL,LOW,OPEN,NO_EXCEPTION
PO-10060,SUP-016,CUS-008,SKU-0004,DAL,2026-08-31,2026-09-16,2026-09-19,60,60,0,164,17,5,109.64,109.64,USD,CRITICAL,LOW,OPEN,LATE_SHIPMENT
PO-10061,SUP-016,CUS-046,SKU-0038,ATL,2026-09-01,2026-09-22,2026-09-19,100,100,0,9,6,11,201.06,201.06,USD,STANDARD,HIGH,IN_TRANSIT,INVENTORY_SHORTAGE
PO-10062,SUP-003,CUS-018,SKU-0054,ATL,2026-08-07,2026-09-23,2026-09-21,150,92,0,385,0,14,212.0,212.0,USD,HIGH,HIGH,OPEN,QUANTITY_SHORTFALL
PO-10063,SUP-018,CUS-025,SKU-0059,ATL,2026-08-09,2026-09-17,2026-09-16,150,150,0,353,7,17,92.33,85.13,USD,STANDARD,HIGH,OPEN,PRICE_MISMATCH
PO-10064,SUP-005,CUS-032,SKU-0005,DAL,2026-08-15,2026-09-18,,100,100,0,347,3,19,237.31,237.31,USD,STANDARD,HIGH,OPEN,DATA_QUALITY
PO-10065,SUP-005,CUS-005,SKU-0061,ATL,2026-08-13,2026-09-25,2026-09-23,40,40,0,224,12,7,159.91,159.91,USD,HIGH,HIGH,CONFIRMED,NO_EXCEPTION
PO-10066,SUP-020,CUS-005,SKU-0031,ATL,2026-08-08,2026-09-25,2026-09-24,250,250,0,466,2,18,133.52,133.52,USD,STANDARD,LOW,CONFIRMED,NO_EXCEPTION
PO-10067,SUP-002,CUS-019,SKU-0046,ATL,2026-08-20,2026-09-12,2026-09-09,40,40,0,102,7,18,18.67,18.67,USD,STANDARD,LOW,OPEN,NO_EXCEPTION
PO-10068,SUP-016,CUS-038,SKU-0019,DAL,2026-08-15,2026-09-21,2026-09-27,20,20,0,208,8,19,166.49,166.49,USD,HIGH,LOW,CONFIRMED,LATE_SHIPMENT
PO-10069,SUP-012,CUS-038,SKU-0039,LAX,2026-08-29,2026-09-13,2026-09-11,250,250,0,30,12,16,110.48,110.48,USD,CRITICAL,HIGH,OPEN,INVENTORY_SHORTAGE
PO-10070,SUP-013,CUS-018,SKU-0002,PHX,2026-08-21,2026-09-23,2026-09-20,150,125,0,388,9,12,76.49,76.49,USD,HIGH,LOW,IN_TRANSIT,QUANTITY_SHORTFALL
PO-10071,SUP-005,CUS-041,SKU-0013,PHX,2026-08-23,2026-09-22,2026-09-20,150,150,0,376,14,6,213.96,183.29,USD,HIGH,LOW,OPEN,PRICE_MISMATCH
PO-10072,,CUS-024,SKU-0068,ATL,2026-08-13,2026-09-14,2026-09-13,60,60,0,150,15,14,54.58,54.58,USD,HIGH,LOW,CONFIRMED,DATA_QUALITY
PO-10073,SUP-013,CUS-036,SKU-0047,PHX,2026-08-25,2026-09-25,2026-09-22,40,40,0,68,8,8,164.91,164.91,USD,CRITICAL,MEDIUM,IN_TRANSIT,NO_EXCEPTION
PO-10074,SUP-012,CUS-007,SKU-0030,LAX,2026-08-23,2026-09-21,2026-09-21,250,250,0,433,17,15,96.4,96.4,USD,STANDARD,LOW,IN_TRANSIT,NO_EXCEPTION
PO-10075,SUP-014,CUS-008,SKU-0018,PHX,2026-08-10,2026-09-23,2026-09-23,500,500,0,602,15,8,78.11,78.11,USD,STANDARD,LOW,IN_TRANSIT,NO_EXCEPTION
PO-10076,SUP-018,CUS-027,SKU-0076,DAL,2026-08-15,2026-09-19,2026-09-26,40,40,0,232,3,20,94.07,94.07,USD,CRITICAL,MEDIUM,OPEN,LATE_SHIPMENT
PO-10077,SUP-012,CUS-007,SKU-0048,ATL,2026-08-11,2026-09-19,2026-09-19,40,40,0,10,3,5,228.53,228.53,USD,STANDARD,HIGH,OPEN,INVENTORY_SHORTAGE
PO-10078,SUP-019,CUS-014,SKU-0009,DAL,2026-08-18,2026-09-15,2026-09-14,20,17,0,253,7,15,237.41,237.41,USD,STANDARD,LOW,CONFIRMED,QUANTITY_SHORTFALL
PO-10079,SUP-001,CUS-009,SKU-0002,ATL,2026-08-23,2026-09-24,2026-09-23,40,40,0,215,10,5,51.28,48.48,USD,STANDARD,MEDIUM,OPEN,PRICE_MISMATCH
PO-10080,,CUS-050,SKU-0047,PHX,2026-09-01,2026-09-23,2026-09-20,100,100,0,253,7,6,22.75,22.75,USD,HIGH,HIGH,IN_TRANSIT,DATA_QUALITY
PO-10081,SUP-004,CUS-032,SKU-0057,PHX,2026-08-09,2026-09-25,2026-09-25,20,20,0,127,19,9,101.18,101.18,USD,STANDARD,LOW,CONFIRMED,NO_EXCEPTION
PO-10082,SUP-017,CUS-019,SKU-0059,LAX,2026-08-19,2026-09-18,2026-09-18,150,150,0,378,3,11,238.75,238.75,USD,CRITICAL,HIGH,OPEN,NO_EXCEPTION
PO-10083,SUP-014,CUS-047,SKU-0013,ATL,2026-08-18,2026-09-25,2026-09-22,100,100,0,205,8,16,113.21,113.21,USD,STANDARD,HIGH,OPEN,NO_EXCEPTION
PO-10084,SUP-012,CUS-009,SKU-0072,PHX,2026-09-03,2026-09-13,2026-09-15,20,20,0,216,3,18,108.2,108.2,USD,HIGH,HIGH,IN_TRANSIT,LATE_SHIPMENT
PO-10085,SUP-017,CUS-014,SKU-0020,LAX,2026-08-20,2026-09-17,2026-09-16,60,60,0,18,7,18,32.04,32.04,USD,HIGH,LOW,CONFIRMED,INVENTORY_SHORTAGE
PO-10086,SUP-009,CUS-002,SKU-0024,ATL,2026-09-07,2026-09-21,2026-09-19,500,331,0,611,11,5,223.55,223.55,USD,STANDARD,LOW,IN_TRANSIT,QUANTITY_SHORTFALL
PO-10087,SUP-001,CUS-006,SKU-0068,DAL,2026-09-04,2026-09-14,2026-09-11,100,100,0,232,14,15,205.27,179.9,USD,STANDARD,MEDIUM,CONFIRMED,PRICE_MISMATCH
PO-10088,,CUS-004,SKU-0011,ATL,2026-09-03,2026-09-12,2026-09-09,500,500,0,694,13,20,44.09,44.09,USD,CRITICAL,HIGH,CONFIRMED,DATA_QUALITY
PO-10089,SUP-004,CUS-019,SKU-0076,LAX,2026-08-07,2026-09-13,2026-09-11,500,500,0,536,7,17,88.08,88.08,USD,STANDARD,LOW,OPEN,NO_EXCEPTION
PO-10090,SUP-009,CUS-019,SKU-0042,PHX,2026-08-26,2026-09-24,2026-09-24,60,60,0,212,13,10,39.84,39.84,USD,STANDARD,HIGH,IN_TRANSIT,NO_EXCEPTION
PO-10091,SUP-012,CUS-005,SKU-0051,PHX,2026-08-25,2026-09-20,2026-09-17,250,250,0,279,14,7,137.62,137.62,USD,HIGH,HIGH,IN_TRANSIT,NO_EXCEPTION
PO-10092,SUP-001,CUS-021,SKU-0022,LAX,2026-08-13,2026-09-16,2026-09-24,100,100,0,147,13,8,34.72,34.72,USD,STANDARD,HIGH,IN_TRANSIT,LATE_SHIPMENT
PO-10093,SUP-011,CUS-015,SKU-0043,DAL,2026-09-03,2026-09-18,2026-09-18,150,150,0,46,41,9,209.96,209.96,USD,STANDARD,MEDIUM,CONFIRMED,INVENTORY_SHORTAGE
PO-10094,SUP-006,CUS-039,SKU-0020,PHX,2026-09-02,2026-09-14,2026-09-13,40,21,0,262,20,20,67.38,67.38,USD,CRITICAL,HIGH,IN_TRANSIT,QUANTITY_SHORTFALL
PO-10095,SUP-011,CUS-010,SKU-0057,PHX,2026-08-19,2026-09-25,2026-09-22,250,250,0,388,20,14,259.17,233.27,USD,HIGH,LOW,CONFIRMED,PRICE_MISMATCH
PO-10096,SUP-012,CUS-019,SKU-0010,PHX,2026-08-10,2026-09-19,,60,60,0,203,18,6,16.72,16.72,USD,CRITICAL,LOW,CONFIRMED,DATA_QUALITY
PO-10097,SUP-015,CUS-007,SKU-0044,PHX,2026-08-07,2026-09-14,2026-09-13,100,100,0,135,7,19,230.19,230.19,USD,CRITICAL,LOW,CONFIRMED,NO_EXCEPTION
PO-10098,SUP-011,CUS-044,SKU-0077,PHX,2026-08-21,2026-09-18,2026-09-16,60,60,0,101,10,8,102.83,102.83,USD,CRITICAL,MEDIUM,CONFIRMED,NO_EXCEPTION
PO-10099,SUP-005,CUS-023,SKU-0040,LAX,2026-08-30,2026-09-17,2026-09-16,250,250,0,427,2,14,26.91,26.91,USD,CRITICAL,MEDIUM,OPEN,NO_EXCEPTION
PO-10100,SUP-017,CUS-024,SKU-0003,ATL,2026-09-03,2026-09-22,2026-09-26,250,250,0,321,6,15,163.55,163.55,USD,CRITICAL,LOW,OPEN,LATE_SHIPMENT
PO-10101,SUP-004,CUS-033,SKU-0070,PHX,2026-09-04,2026-09-16,2026-09-14,40,40,0,2,2,10,203.91,203.91,USD,CRITICAL,LOW,OPEN,INVENTORY_SHORTAGE
PO-10102,SUP-008,CUS-029,SKU-0079,ATL,2026-08-11,2026-09-12,2026-09-09,250,202,0,334,17,12,103.32,103.32,USD,HIGH,HIGH,OPEN,QUANTITY_SHORTFALL
PO-10103,SUP-013,CUS-033,SKU-0068,LAX,2026-08-11,2026-09-19,2026-09-18,250,250,0,484,6,9,206.52,186.51,USD,HIGH,LOW,IN_TRANSIT,PRICE_MISMATCH
PO-10104,SUP-004,CUS-019,,DAL,2026-09-02,2026-09-23,2026-09-21,60,60,0,200,16,9,204.25,204.25,USD,CRITICAL,LOW,OPEN,DATA_QUALITY
PO-10105,SUP-017,CUS-024,SKU-0031,LAX,2026-09-07,2026-09-18,2026-09-18,60,60,0,180,7,5,20.36,20.36,USD,HIGH,LOW,IN_TRANSIT,NO_EXCEPTION
PO-10106,SUP-002,CUS-019,SKU-0061,DAL,2026-08-18,2026-09-24,2026-09-21,250,250,0,389,19,5,41.88,41.88,USD,STANDARD,LOW,CONFIRMED,NO_EXCEPTION
PO-10107,SUP-020,CUS-034,SKU-0055,PHX,2026-08-30,2026-09-20,2026-09-18,40,40,0,125,9,8,226.13,226.13,USD,STANDARD,LOW,CONFIRMED,NO_EXCEPTION
PO-10108,SUP-016,CUS-039,SKU-0069,PHX,2026-08-10,2026-09-13,2026-09-20,250,250,0,458,4,14,33.72,33.72,USD,CRITICAL,LOW,IN_TRANSIT,LATE_SHIPMENT
PO-10109,SUP-003,CUS-034,SKU-0047,PHX,2026-08-13,2026-09-14,2026-09-14,40,40,0,11,0,16,162.13,162.13,USD,CRITICAL,MEDIUM,CONFIRMED,INVENTORY_SHORTAGE
PO-10110,SUP-004,CUS-050,SKU-0075,ATL,2026-09-04,2026-09-17,2026-09-16,500,377,0,536,11,15,63.94,63.94,USD,STANDARD,HIGH,IN_TRANSIT,QUANTITY_SHORTFALL
PO-10111,SUP-015,CUS-003,SKU-0038,DAL,2026-08-28,2026-09-24,2026-09-24,250,250,0,477,6,6,43.05,39.29,USD,HIGH,MEDIUM,IN_TRANSIT,PRICE_MISMATCH
PO-10112,SUP-007,CUS-019,,PHX,2026-08-09,2026-09-16,2026-09-14,500,500,0,594,3,16,16.5,16.5,USD,CRITICAL,HIGH,IN_TRANSIT,DATA_QUALITY
PO-10113,SUP-016,CUS-024,SKU-0067,ATL,2026-08-18,2026-09-14,2026-09-14,100,100,0,311,13,7,123.12,123.12,USD,CRITICAL,LOW,IN_TRANSIT,NO_EXCEPTION
PO-10114,SUP-010,CUS-020,SKU-0058,LAX,2026-08-19,2026-09-13,2026-09-12,60,60,0,261,14,16,26.58,26.58,USD,CRITICAL,LOW,IN_TRANSIT,NO_EXCEPTION
PO-10115,SUP-009,CUS-041,SKU-0008,PHX,2026-08-17,2026-09-21,2026-09-18,500,500,0,618,16,10,239.57,239.57,USD,STANDARD,LOW,IN_TRANSIT,NO_EXCEPTION
PO-10116,SUP-008,CUS-050,SKU-0047,ATL,2026-08-11,2026-09-12,2026-09-21,250,250,0,420,1,9,37.29,37.29,USD,CRITICAL,MEDIUM,CONFIRMED,LATE_SHIPMENT
PO-10117,SUP-012,CUS-026,SKU-0041,ATL,2026-09-04,2026-09-21,2026-09-20,500,500,0,30,8,13,39.95,39.95,USD,CRITICAL,HIGH,IN_TRANSIT,INVENTORY_SHORTAGE
PO-10118,SUP-010,CUS-045,SKU-0063,DAL,2026-08-11,2026-09-15,2026-09-15,250,146,0,309,2,19,239.16,239.16,USD,STANDARD,HIGH,OPEN,QUANTITY_SHORTFALL
PO-10119,SUP-003,CUS-036,SKU-0070,ATL,2026-08-19,2026-09-22,2026-09-20,250,250,0,492,5,10,104.36,88.6,USD,HIGH,LOW,OPEN,PRICE_MISMATCH
PO-10120,SUP-001,CUS-024,,ATL,2026-08-31,2026-09-15,2026-09-12,500,500,0,730,17,9,191.37,191.37,USD,STANDARD,LOW,CONFIRMED,DATA_QUALITY
PO-10121,SUP-014,CUS-037,SKU-0010,DAL,2026-08-09,2026-09-20,2026-09-18,250,250,0,439,2,19,103.3,103.3,USD,CRITICAL,MEDIUM,OPEN,NO_EXCEPTION
PO-10122,SUP-014,CUS-033,SKU-0008,PHX,2026-08-28,2026-09-24,2026-09-23,500,500,0,602,5,10,232.17,232.17,USD,HIGH,LOW,CONFIRMED,NO_EXCEPTION
PO-10123,SUP-007,CUS-041,SKU-0071,ATL,2026-08-21,2026-09-25,2026-09-24,150,150,0,335,9,7,26.3,26.3,USD,STANDARD,LOW,OPEN,NO_EXCEPTION
PO-10124,SUP-002,CUS-002,SKU-0011,PHX,2026-08-18,2026-09-25,2026-10-05,250,250,0,441,6,18,222.35,222.35,USD,STANDARD,HIGH,IN_TRANSIT,LATE_SHIPMENT
PO-10125,SUP-013,CUS-020,SKU-0059,PHX,2026-08-20,2026-09-19,2026-09-19,60,60,0,10,9,9,64.81,64.81,USD,CRITICAL,HIGH,OPEN,INVENTORY_SHORTAGE
PO-10126,SUP-012,CUS-026,SKU-0017,ATL,2026-08-19,2026-09-23,2026-09-23,60,52,0,166,7,19,237.22,237.22,USD,STANDARD,MEDIUM,CONFIRMED,QUANTITY_SHORTFALL
PO-10127,SUP-013,CUS-040,SKU-0054,DAL,2026-09-02,2026-09-12,2026-09-11,40,40,0,273,10,15,88.85,75.33,USD,STANDARD,LOW,CONFIRMED,PRICE_MISMATCH
PO-10128,SUP-003,CUS-026,,LAX,2026-08-08,2026-09-16,2026-09-15,100,100,0,180,18,16,123.39,123.39,USD,STANDARD,LOW,CONFIRMED,DATA_QUALITY
PO-10129,SUP-004,CUS-028,SKU-0018,ATL,2026-08-09,2026-09-16,2026-09-14,150,150,0,370,12,16,132.51,132.51,USD,STANDARD,HIGH,OPEN,NO_EXCEPTION
PO-10130,SUP-003,CUS-025,SKU-0065,LAX,2026-08-27,2026-09-17,2026-09-15,150,150,0,386,19,8,136.35,136.35,USD,STANDARD,LOW,CONFIRMED,NO_EXCEPTION
PO-10131,SUP-005,CUS-013,SKU-0078,LAX,2026-08-18,2026-09-20,2026-09-20,60,60,0,96,1,9,225.84,225.84,USD,HIGH,HIGH,IN_TRANSIT,NO_EXCEPTION
PO-10132,SUP-005,CUS-021,SKU-0079,ATL,2026-08-30,2026-09-21,2026-10-02,100,100,0,225,19,14,215.21,215.21,USD,HIGH,HIGH,IN_TRANSIT,LATE_SHIPMENT
PO-10133,SUP-011,CUS-044,SKU-0015,LAX,2026-08-09,2026-09-25,2026-09-23,60,60,0,18,18,12,11.86,11.86,USD,CRITICAL,MEDIUM,IN_TRANSIT,INVENTORY_SHORTAGE
